 Agrupaciones: 999   Score: 0.51
 Agrupaciones: 998   Score: 0.64
 Agrupaciones: 997   Score: 0.71
 Agrupaciones: 996   Score: 0.76
 Agrupaciones: 995   Score: 0.79
 Agrupaciones: 994   Score: 0.82
 Agrupaciones: 993   Score: 0.83
 Agrupaciones: 992   Score: 0.85
 Agrupaciones: 991   Score: 0.86
 Agrupaciones: 990   Score: 0.87
 Agrupaciones: 989   Score: 0.87
 Agrupaciones: 988   Score: 0.88
 Agrupaciones: 987   Score: 0.89
 Agrupaciones: 986   Score: 0.89
 Agrupaciones: 985   Score: 0.9
 Agrupaciones: 984   Score: 0.9
 Agrupaciones: 983   Score: 0.9
 Agrupaciones: 982   Score: 0.91
 Agrupaciones: 981   Score: 0.91
 Agrupaciones: 980   Score: 0.91
 Agrupaciones: 979   Score: 0.92
 Agrupaciones: 978   Score: 0.92
 Agrupaciones: 977   Score: 0.92
 Agrupaciones: 976   Score: 0.92
 Agrupaciones: 975   Score: 0.92
 Agrupaciones: 974   Score: 0.93
 Agrupaciones: 973   Score: 0.93
 Agrupaciones: 972   Score: 0.93
 Agrupaciones: 971   Score: 0.93
 Agrupaciones: 970   Score: 0.93
 Agrupaciones: 969   Score: 0.93
 Agrupaciones: 968   Score: 0.93
 Agrupaciones: 967   Score: 0.93
 Agrupaciones: 966   Score: 0.93
 Agrupaciones: 965   Score: 0.94
 Agrupaciones: 964   Score: 0.94
 Agrupaciones: 963   Score: 0.94
 Agrupaciones: 962   Score: 0.94
 Agrupaciones: 961   Score: 0.94
 Agrupaciones: 960   Score: 0.94
 Agrupaciones: 959   Score: 0.94
 Agrupaciones: 958   Score: 0.94
 Agrupaciones: 957   Score: 0.94
 Agrupaciones: 956   Score: 0.94
 Agrupaciones: 955   Score: 0.94
 Agrupaciones: 954   Score: 0.94
 Agrupaciones: 953   Score: 0.95
 Agrupaciones: 952   Score: 0.95
 Agrupaciones: 951   Score: 0.95
 Agrupaciones: 950   Score: 0.95
 Agrupaciones: 949   Score: 0.95
 Agrupaciones: 948   Score: 0.95
 Agrupaciones: 947   Score: 0.95
 Agrupaciones: 946   Score: 0.95
 Agrupaciones: 945   Score: 0.95
 Agrupaciones: 944   Score: 0.95
 Agrupaciones: 943   Score: 0.95
 Agrupaciones: 942   Score: 0.95
 Agrupaciones: 941   Score: 0.95
 Agrupaciones: 940   Score: 0.95
 Agrupaciones: 939   Score: 0.95
 Agrupaciones: 938   Score: 0.95
 Agrupaciones: 937   Score: 0.95
 Agrupaciones: 936   Score: 0.95
 Agrupaciones: 935   Score: 0.95
 Agrupaciones: 934   Score: 0.95
 Agrupaciones: 933   Score: 0.95
 Agrupaciones: 932   Score: 0.95
 Agrupaciones: 931   Score: 0.95
 Agrupaciones: 930   Score: 0.95
 Agrupaciones: 929   Score: 0.95
 Agrupaciones: 928   Score: 0.95
 Agrupaciones: 927   Score: 0.95
 Agrupaciones: 926   Score: 0.95
 Agrupaciones: 925   Score: 0.95
 Agrupaciones: 924   Score: 0.96
 Agrupaciones: 923   Score: 0.96
 Agrupaciones: 922   Score: 0.96
 Agrupaciones: 921   Score: 0.96
 Agrupaciones: 920   Score: 0.96
 Agrupaciones: 919   Score: 0.96
 Agrupaciones: 918   Score: 0.96
 Agrupaciones: 917   Score: 0.96
 Agrupaciones: 916   Score: 0.96
 Agrupaciones: 915   Score: 0.96
 Agrupaciones: 914   Score: 0.96
 Agrupaciones: 913   Score: 0.96
 Agrupaciones: 912   Score: 0.96
 Agrupaciones: 911   Score: 0.96
 Agrupaciones: 910   Score: 0.96
 Agrupaciones: 909   Score: 0.96
 Agrupaciones: 908   Score: 0.96
 Agrupaciones: 907   Score: 0.96
 Agrupaciones: 906   Score: 0.96
 Agrupaciones: 905   Score: 0.96
 Agrupaciones: 904   Score: 0.96
 Agrupaciones: 903   Score: 0.96
 Agrupaciones: 902   Score: 0.96
 Agrupaciones: 901   Score: 0.96
 Agrupaciones: 900   Score: 0.96
 Agrupaciones: 899   Score: 0.96
 Agrupaciones: 898   Score: 0.96
 Agrupaciones: 897   Score: 0.96
 Agrupaciones: 896   Score: 0.96
 Agrupaciones: 895   Score: 0.96
 Agrupaciones: 894   Score: 0.96
 Agrupaciones: 893   Score: 0.96
 Agrupaciones: 892   Score: 0.96
 Agrupaciones: 891   Score: 0.96
 Agrupaciones: 890   Score: 0.96
 Agrupaciones: 889   Score: 0.96
 Agrupaciones: 888   Score: 0.96
 Agrupaciones: 887   Score: 0.96
 Agrupaciones: 886   Score: 0.96
 Agrupaciones: 885   Score: 0.96
 Agrupaciones: 884   Score: 0.96
 Agrupaciones: 883   Score: 0.96
 Agrupaciones: 882   Score: 0.96
 Agrupaciones: 881   Score: 0.96
 Agrupaciones: 880   Score: 0.96
 Agrupaciones: 879   Score: 0.96
 Agrupaciones: 878   Score: 0.96
 Agrupaciones: 877   Score: 0.96
 Agrupaciones: 876   Score: 0.96
 Agrupaciones: 875   Score: 0.96
 Agrupaciones: 874   Score: 0.96
 Agrupaciones: 873   Score: 0.96
 Agrupaciones: 872   Score: 0.96
 Agrupaciones: 871   Score: 0.96
 Agrupaciones: 870   Score: 0.96
 Agrupaciones: 869   Score: 0.96
 Agrupaciones: 868   Score: 0.96
 Agrupaciones: 867   Score: 0.96
 Agrupaciones: 866   Score: 0.96
 Agrupaciones: 865   Score: 0.96
 Agrupaciones: 864   Score: 0.96
 Agrupaciones: 863   Score: 0.96
 Agrupaciones: 862   Score: 0.96
 Agrupaciones: 861   Score: 0.97
 Agrupaciones: 860   Score: 0.97
 Agrupaciones: 859   Score: 0.97
 Agrupaciones: 858   Score: 0.97
 Agrupaciones: 857   Score: 0.97
 Agrupaciones: 856   Score: 0.97
 Agrupaciones: 855   Score: 0.97
 Agrupaciones: 854   Score: 0.97
 Agrupaciones: 853   Score: 0.97
 Agrupaciones: 852   Score: 0.97
 Agrupaciones: 851   Score: 0.97
 Agrupaciones: 850   Score: 0.97
 Agrupaciones: 849   Score: 0.97
 Agrupaciones: 848   Score: 0.97
 Agrupaciones: 847   Score: 0.97
 Agrupaciones: 846   Score: 0.97
 Agrupaciones: 845   Score: 0.97
 Agrupaciones: 844   Score: 0.97
 Agrupaciones: 843   Score: 0.97
 Agrupaciones: 990   Score: 0.8663
 Agrupaciones: 980   Score: 0.9129
 Agrupaciones: 970   Score: 0.9309
 Agrupaciones: 960   Score: 0.9414
 Agrupaciones: 950   Score: 0.9467
 Agrupaciones: 940   Score: 0.9506
 Agrupaciones: 930   Score: 0.9535
 Agrupaciones: 920   Score: 0.9565
 Agrupaciones: 910   Score: 0.9585
 Agrupaciones: 900   Score: 0.96
 Agrupaciones: 890   Score: 0.9617
 Agrupaciones: 880   Score: 0.9632
 Agrupaciones: 870   Score: 0.9642
 Agrupaciones: 860   Score: 0.9651
 Agrupaciones: 850   Score: 0.9661
 Agrupaciones: 840   Score: 0.9667
 Agrupaciones: 830   Score: 0.9673
 Agrupaciones: 820   Score: 0.9682
 Agrupaciones: 810   Score: 0.9686
 Agrupaciones: 800   Score: 0.9692
 Agrupaciones: 790   Score: 0.9696
 Agrupaciones: 780   Score: 0.97
 Agrupaciones: 770   Score: 0.9704
 Agrupaciones: 760   Score: 0.9708
 Agrupaciones: 750   Score: 0.9711
 Agrupaciones: 740   Score: 0.9714
 Agrupaciones: 730   Score: 0.9719
 Agrupaciones: 720   Score: 0.9722
 Agrupaciones: 710   Score: 0.9723
 Agrupaciones: 700   Score: 0.9724
 Agrupaciones: 690   Score: 0.9726
 Agrupaciones: 680   Score: 0.9728
 Agrupaciones: 670   Score: 0.973
 Agrupaciones: 660   Score: 0.9732
 Agrupaciones: 650   Score: 0.9734
 Agrupaciones: 640   Score: 0.9736
 Agrupaciones: 630   Score: 0.9738
 Agrupaciones: 620   Score: 0.9739
 Agrupaciones: 610   Score: 0.974
 Agrupaciones: 600   Score: 0.9741
 Agrupaciones: 590   Score: 0.9742
 Agrupaciones: 580   Score: 0.9743
 Agrupaciones: 570   Score: 0.9744
 Agrupaciones: 560   Score: 0.9745
 Agrupaciones: 550   Score: 0.9745
