 Agrupaciones: 526   Score: 0.0016
 Agrupaciones: 520   Score: 0.0051
 Agrupaciones: 514   Score: 0.0115
 Agrupaciones: 508   Score: 0.0174
 Agrupaciones: 502   Score: 0.0231
 Agrupaciones: 496   Score: 0.024
 Agrupaciones: 490   Score: 0.0279
 Agrupaciones: 484   Score: 0.034
 Agrupaciones: 478   Score: 0.0438
 Agrupaciones: 472   Score: 0.0491
 Agrupaciones: 466   Score: 0.0546
 Agrupaciones: 460   Score: 0.0578
 Agrupaciones: 454   Score: 0.0649
 Agrupaciones: 448   Score: 0.0779
 Agrupaciones: 442   Score: 0.0955
 Agrupaciones: 436   Score: 0.1013
 Agrupaciones: 430   Score: 0.1106
 Agrupaciones: 424   Score: 0.1111
 Agrupaciones: 418   Score: 0.1227
 Agrupaciones: 412   Score: 0.1289
 Agrupaciones: 406   Score: 0.1363
 Agrupaciones: 400   Score: 0.1416
 Agrupaciones: 394   Score: 0.1541
 Agrupaciones: 388   Score: 0.1811
 Agrupaciones: 382   Score: 0.1875
 Agrupaciones: 376   Score: 0.1862
 Agrupaciones: 370   Score: 0.201
 Agrupaciones: 364   Score: 0.1969
 Agrupaciones: 358   Score: 0.1966
 Agrupaciones: 352   Score: 0.2094
 Agrupaciones: 346   Score: 0.2159
 Agrupaciones: 340   Score: 0.2203
 Agrupaciones: 334   Score: 0.2239
 Agrupaciones: 328   Score: 0.2253
 Agrupaciones: 322   Score: 0.2265
 Agrupaciones: 316   Score: 0.2248
 Agrupaciones: 310   Score: 0.2366
 Agrupaciones: 304   Score: 0.2399
 Agrupaciones: 298   Score: 0.2353
 Agrupaciones: 292   Score: 0.2351
 Agrupaciones: 286   Score: 0.2351
 Agrupaciones: 280   Score: 0.239
 Agrupaciones: 274   Score: 0.2358
 Agrupaciones: 268   Score: 0.249
 Agrupaciones: 262   Score: 0.2429
 Agrupaciones: 256   Score: 0.246
 Agrupaciones: 250   Score: 0.2369
 Agrupaciones: 244   Score: 0.2352
 Agrupaciones: 238   Score: 0.213
 Agrupaciones: 232   Score: 0.2096
 Agrupaciones: 226   Score: 0.2137
 Agrupaciones: 220   Score: 0.2155
 Agrupaciones: 214   Score: 0.2196
 Agrupaciones: 208   Score: 0.2169
 Agrupaciones: 202   Score: 0.2123
 Agrupaciones: 196   Score: 0.2025
 Agrupaciones: 190   Score: 0.2226
 Agrupaciones: 184   Score: 0.2227
 Agrupaciones: 178   Score: 0.2394
 Agrupaciones: 172   Score: 0.2473
 Agrupaciones: 166   Score: 0.2434
 Agrupaciones: 160   Score: 0.2426
 Agrupaciones: 154   Score: 0.2543
 Agrupaciones: 148   Score: 0.302
 Agrupaciones: 142   Score: 0.2997
 Agrupaciones: 136   Score: 0.296
 Agrupaciones: 130   Score: 0.2652
 Agrupaciones: 124   Score: 0.2624
 Agrupaciones: 118   Score: 0.265
 Agrupaciones: 112   Score: 0.2654
 Agrupaciones: 106   Score: 0.2666
 Agrupaciones: 100   Score: 0.2698
 Agrupaciones: 94   Score: 0.2729
 Agrupaciones: 88   Score: 0.2764
 Agrupaciones: 82   Score: 0.2802
 Agrupaciones: 76   Score: 0.2842
 Agrupaciones: 70   Score: 0.2879
 Agrupaciones: 64   Score: 0.3055
 Agrupaciones: 58   Score: 0.3043
 Agrupaciones: 52   Score: 0.3045
 Agrupaciones: 46   Score: 0.3068
 Agrupaciones: 40   Score: 0.3031
 Agrupaciones: 34   Score: 0.2944
 Agrupaciones: 28   Score: 0.2812
 Agrupaciones: 22   Score: 0.2811
 Agrupaciones: 16   Score: 0.2669
 Agrupaciones: 10   Score: 0.2586
 Agrupaciones: 4   Score: 0.2523
